timestamp,gamma_rad,dgamma_radps,phi_rad,dphi_radps
5.8642649651, 3.1172099113, 0.5346360803, -0.0748963878, 0.3144531250
5.8720669746, 3.1270864010, 0.6151186824, -0.0572682060, 0.4863281250
5.8844161034, 3.1379749775, 0.6824628711, -0.0572682060, 0.4863281250
5.8944091797, 3.1506412029, 0.7994533777, -0.0308795739, 0.6777343750
5.9043798447, 3.1657605171, 0.9622498155, -0.0308795739, 0.6777343750
5.9144229889, 3.1830112934, 1.1586191654, 0.0062038912, 1.0371093750
5.9244780540, 3.2016420364, 1.2551691532, 0.0062038912, 1.0371093750
5.9344549179, 3.2208473682, 1.3552669287, 0.0596822053, 1.3554687500
5.9444570541, 3.2394759655, 1.3069652319, 0.0596822053, 1.3554687500
5.9544453621, 3.2564821243, 1.2624471188, 0.1218923777, 1.4199218750
5.9643640518, 3.2727108002, 1.1504749060, 0.1218923777, 1.4199218750
5.9743709564, 3.2882535458, 1.1195518970, 0.1785523295, 1.3300781250
5.9843602180, 3.3033876419, 1.0824891329, 0.1785523295, 1.3300781250
5.9943737984, 3.3180775642, 1.0983942747, 0.2249593586, 1.2539062500
6.0042853355, 3.3325791359, 1.0645692348, 0.2249593586, 1.2539062500
6.0142841339, 3.3467528820, 1.0118132830, 0.2719363272, 1.2324218750
6.0242743492, 3.3602106571, 0.8895466328, 0.2719363272, 1.2324218750
6.0341858864, 3.3726971149, 0.7728605270, 0.3136050403, 1.0996093750
6.0442028046, 3.3843476772, 0.6278756857, 0.3136050403, 1.0996093750
6.0541896820, 3.3953626156, 0.5735615492, 0.3481564224, 0.9003906250
6.0641136169, 3.4058074951, 0.5404343605, 0.3481564224, 0.9003906250
6.0741109848, 3.4158914089, 0.5454983711, 0.3813068271, 0.7851562500
